"age","bmass","mu","sigma","nu"
14,43,104.047605585447,0.168696489058259,-0.346138877680971
14,43.1,104.225629071548,0.168678664708892,-0.343896774890934
14,43.2,104.403622689078,0.168660842202853,-0.341659868172274
14,43.3,104.581593722364,0.16864302153972,-0.339428133496884
14,43.4,104.759549511691,0.168625202719072,-0.337201547002941
14,43.5,104.937497453288,0.168607385740486,-0.334980084993374
14,43.6,105.115444999346,0.168589570603541,-0.332763723934356
14,43.7,105.293399658007,0.168571757307815,-0.330552440453804
14,43.8,105.471368993388,0.168553945852886,-0.328346211339898
14,43.9,105.649360625588,0.168536136238333,-0.326145013539627
14,44,105.827382230718,0.168518328463736,-0.323948824157334
14,44.1,106.00544154092,0.168500522528672,-0.321757620453295
14,44.2,106.18354634441,0.16848271843272,-0.319571379842302
14,44.3,106.361704501475,0.16846491617546,-0.317390079892267
14,44.4,106.539923864685,0.168447115756471,-0.315213698322842
14,44.5,106.718212373256,0.16842931717533,-0.313042213004052
14,44.6,106.89657822024,0.168411520431622,-0.310875601954947
14,44.7,107.075029458983,0.168393725524925,-0.308713843342263
14,44.8,107.253573210534,0.168375932454797,-0.306556915479108
14,44.9,107.432215861142,0.16835814122078,-0.30440479682365
14,45,107.610962733006,0.16834035182239,-0.302257465977831
14,45.1,107.789819366905,0.16832256425915,-0.300114901686088
14,45.2,107.968791342929,0.168304778530581,-0.297977082834091
14,45.3,108.147884278706,0.168286994636204,-0.295843988447495
14,45.4,108.327103831293,0.168269212575542,-0.293715597690706
14,45.5,108.506455696381,0.168251432348116,-0.291591889865657
14,45.6,108.685945608443,0.168233653953449,-0.289472844410603
14,45.7,108.865579340921,0.168215877391062,-0.287358440898926
14,45.8,109.045362706243,0.168198102660479,-0.285248659037954
14,45.9,109.225301555922,0.168180329761222,-0.28314347866779
14,46,109.40540178064,0.168162558692813,-0.281042879760158
14,46.1,109.585669310331,0.168144789454775,-0.278946842417261
14,46.2,109.766110114278,0.168127022046632,-0.276855346870647
14,46.3,109.9467302012,0.168109256467906,-0.274768373480095
14,46.4,110.127535619357,0.168091492718121,-0.2726859027325
14,46.5,110.308532456652,0.1680737307968,-0.27060791524079
14,46.6,110.489726840724,0.168055970703467,-0.268534391742832
14,46.7,110.671124939063,0.168038212437645,-0.266465313100367
14,46.8,110.852732959124,0.168020455998859,-0.264400660297949
14,46.9,111.034557148437,0.168002701386631,-0.262340414441896
14,47,111.216603794727,0.167984948600487,-0.260284556759252
14,47.1,111.398879226029,0.167967197639951,-0.258233068596761
14,47.2,111.581389810826,0.167949448504547,-0.256185931419853
14,47.3,111.764141958164,0.167931701193799,-0.254143126811636
14,47.4,111.947142117794,0.167913955707233,-0.252104636471906
14,47.5,112.130396780308,0.167896212044373,-0.25007044221616
14,47.6,112.313912477266,0.167878470204744,-0.248040525974623
14,47.7,112.497695781357,0.167860730187871,-0.246014869791288
14,47.8,112.681753306538,0.167842991993279,-0.24399345582296
14,47.9,112.86609170818,0.167825255620495,-0.241976266338313
14,48,113.050717683237,0.167807521069043,-0.239963283716957
14,48.1,113.235637970391,0.167789788338449,-0.237954490448517
14,48.2,113.420859350225,0.167772057428238,-0.235949869131716
14,48.3,113.606388645383,0.167754328337938,-0.233949402473471
14,48.4,113.792232720747,0.167736601067074,-0.231953073287999
14,48.5,113.978398483611,0.167718875615171,-0.229960864495932
14,48.6,114.164892883854,0.167701151981758,-0.227972759123437
14,48.7,114.351722914136,0.16768343016636,-0.22598874030135
14,48.8,114.538895610073,0.167665710168503,-0.22400879126432
14,48.9,114.726418050437,0.167647991987715,-0.222032895349953
14,49,114.914297357352,0.167630275623522,-0.220061035997978
14,49.1,115.10254069649,0.167612561075453,-0.218093196749405
14,49.2,115.291155277286,0.167594848343033,-0.216129361245711
14,49.3,115.480148353131,0.16757713742579,-0.214169513228015
14,49.4,115.669527221606,0.167559428323252,-0.212213636536278
14,49.5,115.85929922469,0.167541721034947,-0.210261715108496
14,49.6,116.049471748975,0.167524015560402,-0.208313732979916
14,49.7,116.240052225919,0.167506311899144,-0.206369674282246
14,49.8,116.431048132049,0.167488610050704,-0.204429523242883
14,49.9,116.622466989221,0.167470910014607,-0.202493264184146
14,50,116.814316364855,0.167453211790384,-0.200560881522514
14,50.1,117.006603872174,0.167435515377562,-0.198632359767871
14,50.2,117.199337170464,0.167417820775669,-0.196707683522768
14,50.3,117.392523965334,0.167400127984236,-0.194786837481678
14,50.4,117.586172008972,0.16738243700279,-0.19286980643027
14,50.5,117.780289100413,0.167364747830861,-0.190956575244686
14,50.6,117.974883085805,0.167347060467978,-0.189047128890823
14,50.7,118.1699618587,0.16732937491367,-0.187141452423624
14,50.8,118.365533360323,0.167311691167467,-0.185239530986379
14,50.9,118.561605579863,0.167294009228898,-0.183341349810028
14,51,118.75818655477,0.167276329097494,-0.181446894212472
14,51.1,118.955284371049,0.167258650772783,-0.179556149597894
14,51.2,119.152907163566,0.167240974254297,-0.177669101456083
14,51.3,119.351063116347,0.167223299541565,-0.175785735361765
14,51.4,119.549760462904,0.167205626634117,-0.173906036973944
14,51.5,119.749007486555,0.167187955531485,-0.172029992035243
14,51.6,119.948812520737,0.167170286233198,-0.170157586371259
