bodyMass,mu,sigma,nu
138.0,273.2367824,0.092956309,3.068346807
138.1,273.356371,0.092939657,3.068847755
138.2,273.47653,0.092923008,3.06934834
138.3,273.5972569,0.092906361,3.069848563
138.4,273.7185494,0.092889718,3.070348425
138.5,273.8404053,0.092873078,3.070847926
138.6,273.9628222,0.09285644,3.071347066
138.7,274.0857978,0.092839806,3.071845846
138.8,274.209327,0.092823174,3.072344266
138.9,274.3333977,0.092806546,3.072842328
139.0,274.4580026,0.09278992,3.073340031
139.1,274.5831357,0.092773298,3.073837376
139.2,274.7087909,0.092756679,3.074334364
139.3,274.8349621,0.092740062,3.074830995
139.4,274.9616431,0.092723449,3.07532727
139.5,275.0888278,0.092706838,3.075823188
139.6,275.2165102,0.092690231,3.076318752
139.7,275.3446839,0.092673626,3.07681396
139.8,275.4733429,0.092657025,3.077308814
139.9,275.6024809,0.092640426,3.077803314
140.0,275.7320917,0.092623831,3.078297461
140.1,275.8621691,0.092607238,3.078791255
140.2,275.9927067,0.092590649,3.079284697
140.3,276.1236983,0.092574062,3.079777787
140.4,276.2551376,0.092557479,3.080270525
140.5,276.3870184,0.092540898,3.080762913
140.6,276.5193342,0.09252432,3.081254951
140.7,276.6520788,0.092507746,3.081746638
140.8,276.7852458,0.092491174,3.082237976
140.9,276.918829,0.092474605,3.082728966
141.0,277.0528219,0.09245804,3.083219607
141.1,277.1872181,0.092441477,3.0837099
141.2,277.3220114,0.092424917,3.084199846
141.3,277.4571953,0.092408361,3.084689445
141.4,277.5927635,0.092391807,3.085178697
141.5,277.7287094,0.092375256,3.085667604
141.6,277.8650268,0.092358708,3.086156165
141.7,278.0017092,0.092342164,3.086644382
141.8,278.1387502,0.092325622,3.087132254
141.9,278.2761438,0.092309083,3.087619782
142.0,278.4138836,0.092292547,3.088106967
142.1,278.5519627,0.092276014,3.088593808
142.2,278.6903744,0.092259484,3.089080307
142.3,278.8291119,0.092242957,3.089566464
142.4,278.9681681,0.092226433,3.09005228
142.5,279.1075364,0.092209912,3.090537755
142.6,279.2472097,0.092193394,3.091022889
142.7,279.3871818,0.092176879,3.091507683
142.8,279.5274482,0.092160367,3.091992137
142.9,279.6680053,0.092143858,3.092476252
143.0,279.8088493,0.092127352,3.092960029
143.1,279.9499754,0.092110849,3.093443467
143.2,280.0913759,0.092094348,3.093926568
143.3,280.2330418,0.092077851,3.094409331
143.4,280.3749646,0.092061357,3.094891758
143.5,280.5171353,0.092044866,3.095373848
143.6,280.6595452,0.092028377,3.095855603
143.7,280.8021855,0.092011892,3.096337022
143.8,280.9450472,0.09199541,3.096818106
143.9,281.0881216,0.09197893,3.097298856
144.0,281.2313997,0.091962454,3.097779271
144.1,281.3748726,0.09194598,3.098259354
144.2,281.5185315,0.09192951,3.098739103
144.3,281.6623674,0.091913042,3.09921852
144.4,281.8063713,0.091896578,3.099697604
144.5,281.9505343,0.091880116,3.100176357
144.6,282.0948474,0.091863657,3.100654779
144.7,282.2393015,0.091847202,3.10113287
144.8,282.3838877,0.091830749,3.10161063
144.9,282.5285968,0.091814299,3.102088061
145.0,282.6734199,0.091797852,3.102565163
145.1,282.8183479,0.091781408,3.103041935
145.2,282.9633715,0.091764967,3.103518379
145.3,283.1084818,0.091748529,3.103994495
145.4,283.2536695,0.091732094,3.104470284
145.5,283.3989253,0.091715662,3.104945745
145.6,283.5442383,0.091699233,3.10542088
145.7,283.6895976,0.091682807,3.105895688
145.8,283.8349921,0.091666384,3.106370171
145.9,283.9804107,0.091649964,3.106844329
146.0,284.1258422,0.091633546,3.107318161
146.1,284.2712759,0.091617132,3.107791669
146.2,284.4167014,0.091600721,3.108264853
146.3,284.5621089,0.091584312,3.108737714
146.4,284.7074883,0.091567907,3.109210251
146.5,284.8528296,0.091551504,3.109682466
146.6,284.9981228,0.091535105,3.110154359
146.7,285.1433578,0.091518708,3.110625929
146.8,285.2885245,0.091502314,3.111097179
146.9,285.4336129,0.091485924,3.111568107
147.0,285.5786128,0.091469536,3.112038715
147.1,285.7235138,0.091453151,3.112509003
147.2,285.8683054,0.091436769,3.112978972
147.3,286.012977,0.09142039,3.113448621
147.4,286.1575183,0.091404014,3.113917952
147.5,286.3019187,0.091387641,3.114386964
147.6,286.4461675,0.091371271,3.114855658
147.7,286.5902543,0.091354904,3.115324035
147.8,286.7341684,0.091338539,3.115792095
147.9,286.8778992,0.091322178,3.116259839
148.0,287.0214362,0.09130582,3.116727266
148.1,287.1647696,0.091289464,3.117194377
148.2,287.3078907,0.091273112,3.117661173
148.3,287.4507909,0.091256762,3.118127655
148.4,287.5934606,0.091240415,3.118593822
148.5,287.7358879,0.091224072,3.119059674
148.6,287.87806,0.091207731,3.119525214
148.7,288.0199639,0.091191393,3.11999044
148.8,288.161587,0.091175058,3.120455353
148.9,288.3029163,0.091158726,3.120919954
149.0,288.4439389,0.091142397,3.121384243
149.1,288.584642,0.091126071,3.121848221
149.2,288.7250126,0.091109748,3.122311887
149.3,288.8650381,0.091093428,3.122775243
149.4,289.004714,0.09107711,3.123238289
149.5,289.1440439,0.091060796,3.123701024
149.6,289.2830319,0.091044484,3.124163451
149.7,289.421682,0.091028176,3.124625568
149.8,289.5599981,0.09101187,3.125087377
149.9,289.6979843,0.090995567,3.125548877
150.0,289.8356446,0.090979268,3.12601007
150.1,289.9729831,0.090962971,3.126470955
150.2,290.1100038,0.090946677,3.126931534
150.3,290.2467111,0.090930386,3.127391806
150.4,290.3831093,0.090914098,3.127851772
150.5,290.5192026,0.090897813,3.128311432
150.6,290.6549956,0.09088153,3.128770786
150.7,290.7904925,0.090865251,3.129229836
150.8,290.9256977,0.090848975,3.129688581
150.9,291.0606156,0.090832701,3.130147023
151.0,291.1952505,0.090816431,3.13060516
151.1,291.329607,0.090800163,3.131062994
151.2,291.4636894,0.090783898,3.131520526
151.3,291.5975021,0.090767637,3.131977754
151.4,291.7310496,0.090751378,3.132434681
151.5,291.8643363,0.090735122,3.132891306
151.6,291.9973666,0.090718869,3.13334763
